Time, temp,Carbon
1,-0.174916440002572,0
2,-0.0932424145925311,0
3,0.0274274861471457,0
4,0.0820681247036089,0
5,0.129750415442901,0
6,0.136328037734334,0
7,0.0589790462464331,0
8,-0.0617948999704149,0
9,-0.339056607251188,0
10,-0.744519842499508,0
11,-1.33158283657184,0
12,-2.00481100072051,0
13,-2.7141524361092,0
14,-3.4435936387598,0
15,-4.11713199038558,0
16,-4.70437062998227,0
17,-5.27326510022642,0
18,-5.67317025649582,0
19,-5.93189473739061,0
20,-6.14021251869914,0
21,-6.2575806621948,0
22,-6.27740815891179,0
23,-6.24992088607945,0
24,-6.22960298126999,0
25,-6.1238696570886,0
26,-5.96596764329165,0
27,-5.93549562279029,0
28,-5.88896741882003,0
29,-5.91896663486237,0
30,-5.83199025883884,0
31,-5.74032300333499,0
32,-5.63388640131389,0
33,-5.58019243174719,0
34,-5.56328332489413,0
35,-5.58136805639008,0
36,-5.59108027983495,0
37,-5.62122078434371,0
38,-5.71640190402703,0
39,-5.7509130872181,0
40,-5.81134842234202,0
41,-5.80441204283575,0
42,-5.72722327123213,0
43,-5.62719552105847,0
44,-5.43085953337192,0
45,-5.35091574806345,0
46,-5.27944054193982,0
47,-5.30029015379349,0
48,-5.3038175694558,0
49,-5.2069091983763,0
50,-5.11282742738733,0
51,-4.94613672882145,0
52,-4.82838908465568,0
53,-4.80149209608654,0
54,-4.79965013616216,0
55,-4.8768450633593,0
56,-4.92292261368826,0
57,-5.07899084730522,0
58,-5.21383742764918,0
59,-5.46001481749555,0
60,-5.64623729750095,0
61,-5.79945428341257,0
62,-5.893941770508,0
63,-6.0138225815415,0
64,-6.0619319142571,0
65,-6.11888890188644,0
66,-5.98923444433143,0
67,-5.82234669009056,0
68,-5.59489232904907,0
69,-5.33618731476233,0
70,-5.03195684176939,0
71,-4.6139237871811,0
72,-4.30831687465612,0
73,-4.00551201585087,0
74,-3.69548161007305,0
75,-3.29754185872622,0
76,-2.96669449368979,0
77,-2.78788817286314,0
78,-2.6050251673655,0
79,-2.47421734505529,0
80,-2.36024143538261,0
81,-2.31180496151823,0
82,-2.33628568009236,0
83,-2.34479098314882,0
84,-2.38759145856031,0
85,-2.55976054489399,0
86,-2.7160329479457,0
87,-2.85288181131573,0
88,-2.88685937523547,0
89,-2.82212233829952,0
90,-2.81908019686789,0
91,-2.76867073735165,0
92,-2.68026558934283,0
93,-2.59982836648703,0
94,-2.42281969749894,0
95,-2.24107726373035,0
96,-2.07183106643689,0
97,-1.88621219586721,0
98,-1.71577912864488,0
99,-1.60898866192648,0
100,-1.55112403624117,0
101,-1.49650674759493,0
102,-1.56491285121624,0
103,-1.5958922421906,0
104,-1.74844833281321,0
105,-1.82455257649901,0
106,-1.93585563126218,0
107,-2.05978849084933,0
108,-2.15430677641512,0
109,-2.21835590162548,0
110,-2.22991463198466,0
111,-1.92866119026058,0
112,-1.52283390703865,0
113,-1.11890914187992,0
114,-0.768124672702395,0
115,-0.479427002326338,0
116,-0.12245238966847,0
117,0.278967740582491,0
118,0.673344757640295,0
119,1.09970826935425,0
120,1.54238963901313,0
121,1.84995904084078,0
122,1.98295840900299,0
123,1.99166888415877,0
124,1.78138739147898,0
125,1.4947919453843,0
126,1.18418772897612,0
127,0.747626366059729,0
128,0.266592572687673,0
129,-0.295271753016492,0
130,-0.93999262072334,0
131,-1.73675110646263,0
132,-2.32707010226317,0
133,-2.91184053523467,0
134,-3.53494426640133,0
135,-4.10452935833816,0
136,-4.55049049610209,0
137,-4.82809446518691,0
138,-5.00325564056392,0
139,-5.12543386115675,0
140,-5.18640218389098,0
141,-5.24931843406873,0
142,-5.23640134636172,0
143,-5.33626797654684,0
144,-5.48264712316855,0
145,-5.57503360749683,0
146,-5.7118306406168,0
147,-5.79444487733673,0
148,-5.81611415107693,0
149,-5.53601010197256,0
150,-5.45450970112751,0
151,-5.28495961579057,0
152,-5.23833206235014,0
153,-5.33981818897259,0
154,-5.21072354627696,0
155,-5.12962041729658,0
156,-5.11794406382465,0
157,-5.27420514737152,0
158,-5.20103383042589,0
159,-5.12123289825559,0
160,-5.0905172250025,0
161,-5.06536015004831,0
162,-5.00032545854472,0
163,-4.9226066792423,0
164,-4.9597059788415,0
165,-4.98465110484626,0
166,-4.96102762001755,0
167,-4.96660913855081,0
168,-4.88197200794378,0
169,-4.82135606875323,0
170,-4.67230221631061,0
171,-4.70911219999221,0
172,-4.69961337896777,0
173,-4.7212930656225,0
174,-4.79135296376206,0
175,-4.69567090034242,0
176,-4.56345183087631,0
177,-4.46419320256748,0
178,-4.4276129644712,0
179,-4.45679659723171,0
180,-4.49199562433669,0
181,-4.53400808208892,0
182,-4.64342065006511,0
183,-4.70212841933017,0
184,-4.63850603589893,0
185,-4.54413474468507,0
186,-4.32992747457761,0
187,-4.03621382058859,0
188,-3.73018203059123,0
189,-3.49508722222591,0
190,-3.41395545088319,0
191,-3.2470876175707,0
192,-3.1702610787081,0
193,-2.89391236003597,0
